Employee	EducLev	JobGrade	YrHired	YrBorn	Gender	YrsPrior	PCJob	Salary
1	3	1	92	69	Male	1	No	32
2	1	1	81	57	Female	1	No	39.1
3	1	1	83	60	Female	0	No	33.2
4	2	1	87	55	Female	7	No	30.6
5	3	1	92	67	Male	0	No	29
6	3	1	92	71	Female	0	No	30.5
7	3	1	91	68	Female	0	No	30
8	3	1	87	62	Male	2	No	27
9	1	1	91	33	Female	0	No	34
10	3	1	86	64	Female	0	No	29.5
11	3	1	86	61	Female	2	No	26.8
12	2	1	87	58	Female	8	No	31.3
13	2	1	86	58	Female	0	No	31.2
14	2	1	85	37	Female	6	No	34.7
15	3	1	91	62	Female	0	No	30
16	3	1	92	68	Female	0	No	31
17	3	1	89	65	Female	0	No	27
18	2	1	87	58	Female	9	No	29.6
19	3	1	90	51	Female	6	No	32.6
20	2	1	91	66	Female	3	No	29.6
21	3	1	91	59	Female	2	No	29.5
22	2	1	92	67	Male	3	No	31
23	1	1	90	50	Female	0	No	28.5
24	2	1	92	62	Male	4	No	26.7
25	3	1	92	71	Male	1	No	30.75
26	3	1	92	68	Male	1	No	29.5
27	2	1	79	35	Female	6	No	42.2
28	1	1	82	47	Female	0	No	37.6
29	1	1	83	55	Female	6	No	34
30	2	1	91	62	Female	7	No	33
31	1	1	88	60	Female	4	No	28.76
32	1	1	84	51	Female	0	No	35.4
33	3	1	92	52	Male	8	No	31
34	2	1	77	49	Female	2	No	38.8
35	2	1	81	53	Female	0	No	34.3
36	1	1	76	48	Female	0	No	35
37	3	1	92	70	Female	2	Yes	34.6
38	2	1	93	65	Female	4	No	28.5
39	1	1	84	55	Female	0	No	29.5
40	3	1	92	69	Male	2	No	30.5
41	3	1	90	63	Female	1	No	34.2
42	1	1	80	44	Female	0	No	43.6
43	5	1	88	60	Female	0	Yes	33.5
44	3	1	83	58	Female	1	No	33
45	1	1	77	51	Female	0	No	45.3
46	1	1	78	42	Male	3	No	38.8
47	1	1	85	55	Female	0	No	29.9
48	3	1	90	44	Male	10	No	31.2
49	1	1	80	53	Female	0	No	34
50	2	1	93	42	Female	0	No	30.45
51	1	1	92	37	Male	3	No	35.5
52	1	1	91	51	Female	10	Yes	34
53	2	1	88	64	Female	0	No	29.1
54	1	1	87	31	Female	0	No	29.65
55	3	1	80	48	Female	1	No	29.2
56	3	1	86	58	Female	0	Yes	29.8
57	2	1	79	49	Female	0	No	33.5
58	1	1	87	40	Female	0	No	34
59	1	1	86	56	Female	0	No	29.6
60	3	1	77	44	Female	0	No	34
61	2	2	92	58	Female	8	No	37.25
62	2	2	89	65	Male	3	No	33
63	3	2	91	69	Female	0	No	28.6
64	5	2	90	54	Female	1	Yes	36
65	3	2	91	61	Female	4	Yes	37.3
66	2	2	88	38	Male	4	No	29.9
67	1	2	84	42	Female	8	No	31.5
68	3	2	90	63	Female	4	Yes	41.4
69	1	2	78	51	Female	5	No	32.74
70	3	2	92	70	Male	1	No	33.5
71	1	2	90	64	Female	9	No	32
72	1	2	86	45	Female	0	No	30.8
73	5	2	92	48	Female	3	Yes	42
74	3	2	91	60	Male	0	No	34
75	2	2	79	52	Female	0	No	32.5
76	2	2	86	49	Female	10	No	31.7
77	5	2	92	60	Male	0	No	36.5
78	3	2	91	73	Male	0	No	33
79	2	2	87	37	Female	0	No	31.2
80	5	2	87	55	Female	0	No	34
81	3	2	89	65	Female	0	No	33
82	5	2	91	66	Female	4	No	33.9
83	1	2	92	64	Female	9	Yes	39
84	2	2	83	43	Male	18	No	34.92
85	5	2	92	62	Male	5	No	39
86	1	2	87	46	Female	0	No	34
87	2	2	89	61	Female	7	No	31.9
88	5	2	92	69	Male	1	No	37
89	5	2	91	67	Male	0	No	34
90	5	2	92	60	Female	2	No	36.4
91	1	2	80	48	Female	1	Yes	38.2
92	1	2	80	44	Female	0	No	35.3
93	3	2	92	69	Male	2	No	34.5
94	3	2	83	62	Female	0	No	30.5
